Date,price,gdpgrowth,cpigrowth,unemp,msci
2021-06-01,103.99919826049806,21355.7872903931,5.308076978,5.9,85.5
2021-07-01,128.25296630524915,21432.140376052,5.263088853,5.4,81.2
2021-08-01,132.53765082376077,21467.6915212884,5.173856806,5.1,70.3
2021-09-01,124.08269176174953,21553.3454666906,5.331812962,4.7,72.8
2021-10-01,129.47953543397352,21777.9722084024,6.168980553,4.5,71.7
2021-11-01,140.37045600281448,21783.7611655945,6.756290803,4.1,67.4
2021-12-01,150.6764183830164,21985.1682474198,6.985817076,3.9,70.6
2022-01-01,130.72202762756348,21762.2895337971,7.431089328,4.0,67.2
2022-02-01,138.82824667934185,21745.844740152,7.831418522,3.8,62.8
2022-03-01,145.6150582890896,21712.4857783989,8.459524315,3.6,59.4
2022-04-01,131.73945077158012,21676.5794341927,8.196611458,3.7,65.2
2022-05-01,125.38163543598228,21721.5720403315,8.519895747,3.6,58.4
2022-06-01,114.74255546702194,21730.4436347257,8.96837148,3.6,50.0
2022-07-01,133.6991770374416,21707.6683976963,8.461721721,3.5,51.5
2022-08-01,129.57164501377355,21980.0029561237,8.214989379,3.6,58.2
2022-09-01,114.0001731252568,21869.8820521419,8.189108413,3.5,58.6
2022-10-01,125.43250882332913,21905.7758698445,7.746691578,3.6,59.9
2022-11-01,123.20988582514386,22011.6253650731,7.128344385,3.6,56.7
2022-12-01,109.55566775215016,22056.6539705055,6.51667354,3.5,59.8
